KNN_RMS,KNN_MAV,KNN_VAR,SVM_RMS,SVM_MAV,SVM_VAR,LDA_RMS,LDA_MAV,LDA_VAR,RF_RMS,RF_MAV,RF_VAR,MLP_RMS,MLP_MAV,MLP_VAR,LSTM_RMS,LSTM_MAV,LSTM_VAR
91.25,92.5,86.25,97.5,96.25,92.5,98.75,98.75,87.5,95,96.25,98.75,95,97.5,92.5,98.75,98.75,97.5
81.25,81.25,78.75,92.5,93.75,90,92.5,95,86.25,90,87.5,88.75,91.25,85,77.5,91.25,95,91.25
90,91.25,78.75,95,93.75,87.5,95,93.75,81.25,98.75,97.5,98.75,90,96.25,91.25,98.75,97.5,91.25
83.75,87.5,71.25,93.75,93.75,82.5,95,90,77.5,86.25,88.75,86.25,86.25,91.25,82.5,96.25,93.75,85
72.5,82.5,70,92.5,91.25,77.5,85,90,76.25,80,82.5,77.5,80,85,76.25,86.25,91.25,80
97.5,97.5,93.75,96.25,96.25,93.75,98.75,97.5,92.5,96.25,97.5,95,97.5,96.25,93.75,96.25,97.5,96.25
85,87.5,76.25,92.5,91.25,85,81.25,90,80,97.5,96.25,92.5,90,90,88.75,93.75,93.75,90
95,95,86.25,98.75,97.5,95,97.5,98.75,88.75,98.75,95,96.25,98.75,95,95,98.75,97.5,93.75
90,88.75,88.75,93.75,91.25,92.5,95,95,87.5,98.75,95,95,90,88.75,91.25,97.5,92.5,93.75
92.5,90,80,98.75,97.5,95,97.5,100,95,95,92.5,96.25,93.75,91.25,90,97.5,98.75,92.5
81.25,88.75,73.75,97.5,91.25,88.75,92.5,93.75,77.5,93.75,95,92.5,96.25,91.25,86.25,97.5,93.75,90
96.25,97.5,93.75,96.25,97.5,92.5,96.25,97.5,91.25,97.5,97.5,98.75,95,95,90,96.25,96.25,97.5
86.25,91.25,80,92.5,96.25,90,95,92.5,78.75,86.25,83.75,85,86.25,83.75,80,98.75,95,92.5
93.75,91.25,90,92.5,92.5,92.5,92.5,93.75,87.5,97.5,95,95,93.75,91.25,95,95,93.75,92.5
92.5,91.25,88.75,96.25,97.5,91.25,95,96.25,88.75,98.75,97.5,93.75,95,98.75,91.25,96.25,97.5,95
92.5,91.25,78.75,96.25,97.5,92.5,95,96.25,87.5,96.25,95,96.25,95,91.25,88.75,97.5,100,93.75
96.25,96.25,92.5,97.5,97.5,95,98.75,98.75,88.75,96.25,96.25,98.75,98.75,97.5,93.75,98.75,97.5,97.5
95,95,87.5,92.5,93.75,91.25,98.75,96.25,83.75,92.5,95,92.5,93.75,92.5,88.75,96.25,96.25,93.75
